sample	method	haplotype	switch_error_rate	switch_errors	switch_denominator	hamming_error_rate	hamming_errors	hamming_denominator	total_error_rate	total_pat_kmer	total_mat_kmer
T2T00	verkko_porec	haplotype1	0.015902	51072	3211761	0.012766	41002	3211804	0.251435	2404244	807560
T2T00	verkko_porec	haplotype2	0.027114	52197	1925115	0.019626	37784	1925186	0.441352	849686	1075501
T2T04	verkko_porec	haplotype1	0.012103	38256	3160915	0.008117	25658	3160982	0.347484	2062591	1098391
T2T04	verkko_porec	haplotype2	0.024765	41970	1694731	0.016537	28026	1694786	0.338947	1120343	574443
T2T00	verkko_trio	haplotype1	0.027138	50951	1877501	0.017673	33186	1877769	0.017693	33223	1844551
T2T00	verkko_trio	haplotype2	0.016035	52584	3279260	0.013905	45600	3279467	0.013921	3233816	45652
T2T04	verkko_trio	haplotype1	0.022346	37491	1677715	0.015109	25356	1678153	0.015235	25567	1652587
T2T04	verkko_trio	haplotype2	0.013166	43425	3298154	0.008642	28504	3298459	0.008662	3269894	28571
T2T00	hifiasm_trio	haplotype1	0.025485	70417	2763123	0.047731	131891	2763228	0.360616	996465	1766763
T2T00	hifiasm_trio	haplotype2	0.021227	70171	3305695	0.04199	138812	3305796	0.050757	3138005	167791
T2T04	hifiasm_trio	haplotype1	0.026402	46449	1759326	0.03092	54400	1759365	0.063968	112543	1646822
T2T04	hifiasm_trio	haplotype2	0.016204	52892	3264071	0.016998	55483	3264103	0.018602	3203384	60719
T2T00	hifiasm_porec	haplotype1	0.037519	69927	1863791	0.08304	154776	1863878	0.360473	671877	1192001
T2T00	hifiasm_porec	haplotype2	0.020715	68696	3316287	0.052295	173430	3316372	0.21784	2593934	722438
T2T04	hifiasm_porec	haplotype1	0.015851	52619	3319548	0.016014	53161	3319585	0.191246	2684729	634856
T2T04	hifiasm_porec	haplotype2	0.028574	46459	1625914	0.031846	51780	1625942	0.347884	565639	1060303
T2T00	verkko_pofo	haplotype1	0.027	50607	1874366	0.017653	33090	1874427	0.022503	42181	1832246
T2T00	verkko_pofo	haplotype2	0.016142	52662	3262510	0.014006	45696	3262563	0.015575	3211749	50815
T2T04	verkko_pofo	haplotype1	0.022226	37109	1669647	0.015063	25151	1669701	0.015358	25643	1644058
T2T04	verkko_pofo	haplotype2	0.013533	43117	3185999	0.008956	28533	3186067	0.009032	3157291	28776
