T2T Number	Ethnicity	Gender	Country	Latitude	Longitude
T2T00	German	Male	Germany	51.1657	10.4515
T2T00_1	German	Male	Germany	51.1657	10.4515
T2T00_2	German	Female	Germany	51.1657	10.4515
T2T01	Eastern Slavic/German	Female	Russia	61.5240	105.3188
T2T02	Austrian	Male	Austria	47.5162	14.5501
T2T03	Spanish	Female	Spain	40.4637	-3.7492
T2T04	German	Male	Germany	51.1657	10.4515
T2T04_1	German (Saxony-Anhalt)	Male	Germany	51.9503	11.6923
T2T04_2	German/Polish (Saxony-Anhalt)	Female	Germany	51.9503	11.6923
T2T05	French	Male	France	46.2276	2.2137
T2T06	Russian	Male	Russia	61.5240	105.3188
T2T07	Chilean	Female	Chile	-35.6751	-71.5430
T2T08	South Indian	Female	India	20.5937	78.9629
T2T09	Mexican	Male	Mexico	23.6345	-102.5528
T2T10	Eastern European Mix	Female	Poland	51.9194	19.1451
T2T11	German (Baden-Württemberg/Latvia)	Male	Germany	48.6616	9.3501
T2T12	German/Austrian	Female	Germany	51.1657	10.4515
T2T13	Taiwanese (Han Chinese)	Female	Taiwan	23.6978	120.9605
T2T15	Croatian	Female	Croatia	45.1000	15.2000
T2T16	Russian	Female	Russia	61.5240	105.3188
T2T17	German (Bavarian/Sudeten/Romanian)	Male	Germany	48.7904	11.4979
T2T18	German (Rhineland-Palatinate/Berlin)	Male	Germany	50.1109	8.6821
T2T19	Vietnamese	Male	Vietnam	14.0583	108.2772
T2T20	German (Saarland)	Male	Germany	49.3964	6.8583
T2T21	German (Mixed regions)	Male	Germany	51.1657	10.4515
